ranking_id,national_ranking,player_id,year,points
18,,1,2020,0
24,,2,2020,0
45,,3,2020,0
24,,4,2020,0
24,,5,2020,0
24,,6,2020,0
24,,7,2020,0
24,,8,2020,0
18,,9,2020,0
24,,10,2020,0
20,,11,2020,0
24,,12,2020,0
24,,13,2020,0
12,,14,2020,0
18,,15,2020,0
24,,16,2020,0
24,,17,2020,0
24,,18,2020,0
22,,19,2020,0
24,,20,2020,0
23,,21,2020,0
21,,22,2020,0
24,,23,2020,0
24,,24,2020,0
24,,25,2020,0
32,,26,2020,0
32,,27,2020,0
32,,28,2020,0
18,,29,2020,0
32,,30,2020,0
15,,31,2020,0
40,,32,2020,0
24,,33,2020,0
24,,34,2020,0
24,,35,2020,0
45,,36,2020,0
14,,37,2020,0
15,,38,2020,0
17,,39,2020,0
21,,40,2020,0
16,,41,2020,0
22,,42,2020,0
24,,43,2020,0
24,,44,2020,0
24,,45,2020,0
28,,46,2020,0
24,,47,2020,0
24,,48,2020,0
23,,49,2020,0
24,,50,2020,0
24,,51,2020,0
24,,52,2020,0
22,,53,2020,0
13,,54,2020,0
24,,55,2020,0
14,,56,2020,0
45,,57,2020,0
14,,58,2020,0
24,,59,2020,0
24,,60,2020,0
21,,61,2020,0
24,,62,2020,0
32,,63,2020,0
32,,64,2020,0
21,,65,2020,0
24,,66,2020,0
22,,67,2020,0
24,,68,2020,0
24,,69,2020,0
23,,70,2020,0
9,,71,2020,0
44,,72,2020,0
46,,73,2020,0
40,,74,2020,0
22,,75,2020,0
17,,76,2020,0
32,,77,2020,0
24,,78,2020,0
24,,79,2020,0
21,,80,2020,0
12,,81,2020,0
24,,82,2020,0
40,,83,2020,0
21,,84,2020,0
32,,85,2020,0
24,,86,2020,0
24,,87,2020,0
11,,88,2020,0
17,,89,2020,0
12,,90,2020,0
18,,91,2020,0
18,,92,2020,0
24,,93,2020,0
24,,94,2020,0
30,,95,2020,0
24,,96,2020,0
24,,97,2020,0
8,,98,2020,0
20,,99,2020,0
24,,100,2020,0
24,,101,2020,0
12,,102,2020,0
24,,103,2020,0
24,,104,2020,0
48,,105,2020,0
32,,106,2020,0
32,,107,2020,0
17,,108,2020,0
45,,109,2020,0
19,,110,2020,0
23,,111,2020,0
24,,112,2020,0
24,,113,2020,0
23,,114,2020,0
24,,115,2020,0
24,,116,2020,0
10,,117,2020,0
15,,118,2020,0
15,,119,2020,0
24,,120,2020,0
24,,121,2020,0
24,,122,2020,0
23,,123,2020,0
19,,124,2020,0
24,,125,2020,0
32,,126,2020,0
32,,127,2020,0
24,,128,2020,0
24,,129,2020,0
40,,130,2020,0
48,,131,2020,0
24,,132,2020,0
20,,133,2020,0
16,,134,2020,0
32,,135,2020,0
22,,136,2020,0
38,,137,2020,0
24,,138,2020,0
22,,139,2020,0
22,,140,2020,0
24,,141,2020,0
24,,142,2020,0
22,,143,2020,0
23,,144,2020,0
24,,145,2020,0
21,,146,2020,0
14,,147,2020,0
17,,148,2020,0
32,,149,2020,0
18,,150,2020,0
16,,151,2020,0
32,,152,2020,0
22,,153,2020,0
24,,154,2020,0
12,,155,2020,0
11,,156,2020,0
20,,157,2020,0
24,,158,2020,0
24,,159,2020,0
24,,160,2020,0
22,,161,2020,0
17,,162,2020,0
9,,163,2020,0
12,,164,2020,0
11,,165,2020,0
23,,166,2020,0
15,,167,2020,0
24,,168,2020,0
40,,169,2020,0
21,,170,2020,0
24,,171,2020,0
23,,172,2020,0
32,,173,2020,0
20,,174,2020,0
24,,175,2020,0
32,,176,2020,0
40,,177,2020,0
21,,178,2020,0
24,,179,2020,0
9,,180,2020,0
15,,181,2020,0
21,,182,2020,0
24,,183,2020,0
7,,184,2020,0
24,,185,2020,0
21,,186,2020,0
22,,187,2020,0
40,,188,2020,0
24,,189,2020,0
23,,190,2020,0
24,,191,2020,0
9,,192,2020,0
15,,193,2020,0
24,,194,2020,0
24,,195,2020,0
45,,196,2020,0
21,,197,2020,0
32,,198,2020,0
24,,199,2020,0
32,,200,2020,0
21,,201,2020,0
40,,202,2020,0
12,,203,2020,0
24,,204,2020,0
24,,205,2020,0
24,,206,2020,0
21,,207,2020,0
23,,208,2020,0
24,,209,2020,0
23,,210,2020,0
22,,211,2020,0
23,,212,2020,0
17,,213,2020,0
18,,214,2020,0
24,,215,2020,0
23,,216,2020,0
7,,217,2020,0
10,,218,2020,0
11,,219,2020,0
48,,220,2020,0
23,,221,2020,0
24,,222,2020,0
24,,223,2020,0
20,,224,2020,0
23,,225,2020,0
16,,226,2020,0
24,,227,2020,0
40,,228,2020,0
